"Peter Frank Allam","GBR","M"
"Olivier Allamand","FRA","M"
"Alister Millar Allan","GBR","M"
"Richard Louis Pierre Allemane","FRA","M"
"William Charles 'Bill' Allen","USA","M"
"John Chad Allen","USA","M"
"Katherine Jessie Jean 'Kate' Allen ","AUT","F"
"Kate Ruth 'Katie' Allen","AUS","F"
"Nathon Allen","JAM","M"
"Walter Ray Allen","USA","M"
"Richard James Allen","IND","M"
"Scott Ethan 'Scotty' Allen","USA","M"
"Terence de la Mesa 'Terry' Allen","USA","M"
"Wyatt Allen","USA","M"
"Sandra Louise 'Sandy' Allen-Lewis","AUS","F"
"Katherine Fiona 'Kate' Allenby","GBR","F"
"Arthur Allers","NOR","M"
"Ejler Arild Emil Allert","DEN","M"
"Ade Franci Alleyne-Forte","TTO","M"
"Derek Swithin Allhusen","GBR","M"
"Ian Alistair 'Al' Allison","CAN","M"
"Edward Percival 'Percy' Allman-Smith","GBR","M"
"Antonio Allocchio","ITA","M"
"Lynne Marie Allsup ","USA","F"
"Carmela Allucci","ITA","F"
"Knut Emil Willehard Alm","SWE","M"
"sa Annelie Charlotte 'Lotta' Almblad ","SWE","F"
"Aleksandr Davletovich Almetov","URS","M"
"Matas Jess Almeyda","ARG","M"
"Gustav Adolf 'Gsta' Almgren","SWE","M"
"Almighty Voice","CAN","M"
"Erland Herman Lison Almkvist","SWE","M"
"Erik Albin Almlf","SWE","M"
"Gte Augustin Almqvist","SWE","M"
"Anders Percival 'Percy' Almstedt","SWE","M"
"Arvid Folke Alnevik ","SWE","M"
"Nicolas Alnoudji","CMR","M"
"Alosio Pires Alves","BRA","M"
"Jessica Alonso Bernardo","ESP","F"
"Mikhail Surenovich 'Misha' Aloyan","RUS","M"
"Glory Alozie Oluchi","NGR","F"
"Thomas Alsgaard ","NOR","M"
"Malin Therse Alshammar","SWE","F"
"Andrey Igorevich Alshan","URS","M"
"Ida Alstad","NOR","F"
"Robert Alt","SUI","M"
"Lutz Altepost","GER","M"
"Ingeburg 'Inge' Althoff-Schwerzmann","GER","F"
"Fernando 'Nando' Altimani","ITA","M"
"Livia Altmann","SUI","F"
"Jeannette Eleanor Altwegg ","GBR","F"
"Cristin Andrs lvarez Valenzuela","CHI","M"
"Eduardo C. 'Eddy' Alvarez","USA","M"
"Jos Mara lvarez de las Asturias Bohorques y Goyeneche","ESP","M"
"Jos Miguel lvarez Pozo","CUB","M"
"Lzaro Jorge lvarez Estrada","CUB","M"
"Yuri Alvear Orjuela","COL","F"
"Renzo Alver","ITA","M"
"Thiago Soares Alves","BRA","M"
"Alessandro Alvisi","ITA","M"
"Mohamed Aly Reda","EGY","M"
"Anatoly Nikolayevich Alyabyev","URS","M"
"Nikolay Aleksandrovich Alyokhin","URS","M"
"Maksim Nikolayevich Alyoshin","RUS","M"
"Ivan Vladimirovich Alypov","RUS","M"
"Joseph 'Jos' Alzin","LUX","M"
"Mamood Amadu","GHA","M"
"Charles Aman","USA","M"
"Simona Amnar ","ROU","F"
"Frank Amankwah","GHA","M"
"Max Amann","GER","M"
"Ingrda Amantova","URS","F"
"Alexandre 'Amaral' da Silva Mariano","BRA","M"
"Catello Amarante","ITA","M"
"Prince Amartey","GHA","M"
"Jaime Santiago Amat Durn","ESP","M"
"Jean-Pierre Bernard Andr Amat","FRA","M"
"Juan Amat Fontanals","ESP","M"
"Pedro Amat Fontanals","ESP","M"
"Pablo 'Pol' Amat Escud","ESP","M"
"Santiago Amat Cansino","ESP","M"
"Serena Bibiana Amato","ARG","F"
"Amauri Ribeiro","BRA","M"
"Amaury Antnio Pasos","BRA","M"
"Jos Emilio Amavisca Grate","ESP","M"
"Ivn Amaya Carazo","ESP","M"
"Amedeo Ambron","ITA","M"
"Efetobore 'Efe' Ambrose Emuobo","NGR","M"
"Bianca Ambrosetti","ITA","F"
"Christie Ambrosi","USA","F"
"Ernesto Ambrosini","ITA","M"
"Mikls Ambrus","HUN","M"
"Karl-Robert Ameln","SWE","M"
"Rolf-Dieter Amend","GDR","M"
"Sbastien Amiez","FRA","M"
"Slava Lvovich Amiragov","URS","M"
"Salvatore Amitrano","ITA","M"
"Joseph Brian 'Joe' Amlong","USA","M"
"Thomas Kennedy 'Tom' Amlong","USA","M"
"Simon Ammann","SUI","M"
"Max Heinrich Ammermann","GER","M"
"Otto Ammermann","FRG","M"
"Daniel Owofin Amokachi","NGR","M"
"Anthony Lewis 'Tony' Amonte","USA","M"
"Edward John Amoore","GBR","M"
"Judith Florence 'Judy' Amoore-Pollock","AUS","F"
"Vanessa Amors Quiles","ESP","F"
"Nijel Carlos Amilfitano Amos","BOT","M"
"Zinaida Stepanovna Amosova ","URS","F"
"Gustave Joseph Amoudruz","SUI","M"
"Roman Amoyan","ARM","M"
"Edgar Montague Amphlett","GBR","M"
"Uwe Ampler","GDR","M"
"Franz Albert Amrhein","GER","M"
"Marwa Al-Amri","TUN","F"
"Gaston Marcel Amson","FRA","M"
"Gail Amundrud ","CAN","F"
"Arthur Martinius Amundsen","NOR","M"
"Steinar Amundsen","NOR","M"
"Emmanuel Amunike","NGR","M"
"Stanley Amuzie","NGR","M"
"Francis 'Frank' Amyot","CAN","M"
"An Ba-Ul","KOR","M"
"An Byeong-Geun","KOR","M"
"An Dae-Hyeon","KOR","M"
"An Han-Bong","KOR","M"
"An Jae-Hyeong","KOR","M"
"An Jeong-Hwa","KOR","F"
"An Kum-Ae","PRK","F"
"An Sang-Mi","KOR","F"
"Viktor An","KOR","M"
"Viktor An","RUS","M"
"An Yeong-Su","KOR","M"
"An Yulong","CHN","M"
"An Zhongxin","CHN","F"
"Ana Flvia Chritaro Daniel Sanglard","BRA","F"
"Ana Paula Rodrigues Connelly ","BRA","F"
"Douglas Thomas 'Doug' Anakin","CAN","M"
"Borislav Ananiev","BUL","M"
"Tatyana Vasilyevna Ananko","BLR","F"
"Flavio Anastasia","ITA","M"
"Svetlana Anastasovski-Obuina","YUG","F"
"Mario Ani","CRO","M"
"Julius Theodoor 'Jules' Ancion","NED","M"
"Zygmunt Jzef Anczok","POL","M"
"milie Andol","FRA","F"
"Olle Henrik Martin Anderberg","SWE","M"
"Stefan 'Steve' Anderhub","SUI","M"
"Elizabeth Rambo 'Beth' Anders","USA","F"
"Aage Jrgen Christian Andersen","DEN","M"
"Alf Steen Andersen","NOR","M"
"Anders Peter Andersen","DEN","M"
"Anja Jul Andersen","DEN","F"
"Anne Dsane Andersen","DEN","F"
